Hotel,Star,Rating,Reviews,Harga,Places Nearby,Facil + Akomod
Yuan Garden Pasar Baru,4,8.5,2860,476.000,"Nearby Places

Kerak Telor Bang Doel
Street Food
21 m

Istana Pasar Baru
Business
72 m

Harco Pasar Baru
Shop & Gifts
166 m

Indomaret Antara Ps Baru
Shop & Gifts
331 m
Popular in the Area

Gambir Station
Transportation Hub
1.52 km

Dunia Fantasi (Dufan)
Activity & Games
4.22 km

Ancol Dreamland 
Activity & Games
4.27 km

Halim Perdanakusuma International Airport (HLP)
Transportation Hub
13.18 km","Food and Drinks
A la carte dinner
A la carte lunch
Restaurant with AC
Bar
Breakfast
Buffet breakfast
Poolside bar
Set menu dinner
Set menu lunch
Winery

In-room Facilities
Bathrobe
Bathtub
Cable TV
Desk
Hairdryer
In-room safe
Minibar
Refrigerator
Shower
TV

Public Facilities
Parking
Coffee/tea in lobby
Coffee shop
Elevator
24-hour room service
Restaurant
Room service
Safety deposit box
WiFi in public area

Hotel Services
Bellhop
Concierge
24-hour Receptionist
24-hour security
Laundry service
Luggage storage
Medical service
Newspaper in lobby
Wedding service

General
AC
Ballroom
Banquet
Connecting rooms
Heater
Non-smoking room
Swimming pool
Smoking area

Nearby Facilities
ATM/Banking
Beauty salon
Gift shop
Hair salon
Shops
Supermarket

Things to Do
Fitness center
Massage
Outdoor pool
Pool sun loungers
Sauna
Spa

Accessibilty
Accessibility equipment
Accessible bathroom
Wheelchair accessible

Business Facilities
Meeting facilities
Projector

Sports and Recreations
Aerobics
Fitness center

Family-friendly Facilities
Children pool

Connectivity
Free WiFi

Shuttle Service
Airport transfer (surcharge)
"
InterContinental Hotels JAKARTA PONDOK INDAH,5,8.9,1361,2.960.301,"Nearby Places

Ootoya - Pondok Indah Mall 2
Casual Dining
65 m

Pondok Indah Mall 2
Shop & Gifts
129 m

Pondok Indah Plaza 6
Business
329 m

Yadika General Hospital Kebayoran Lama
Public Service
1.17 km
Popular in the Area

Gambir Station
Transportation Hub
11.15 km

Halim Perdanakusuma International Airport (HLP)
Transportation Hub
12.03 km

Dunia Fantasi (Dufan)
Activity & Games
16.47 km

Ancol Dreamland 
Activity & Games
16.75 km","Things to Do
Outdoor pool
Fitness center

General
AC
Swimming pool

Accessibilty
Accessibility equipment
Accessible parking

Food and Drinks
Bar

Transportation
Parking with surcharge

Connectivity
WiFi (surcharge)

Public Facilities
Room service

Hotel Services
Concierge

In-room Facilities
TV

Nearby Facilities
ATM/Banking"
Sari Pacific Jakarta,4,8.4,4101,968.392,"Nearby Places

The Japanese at Sari Pacific Jakarta
Fine Dining
21 m

Thamrin 10
Business
98 m

Sarinah Mall
Shop & Gifts
223 m

Bundaran HI MRT Station
Transportation Hub
652 m
Popular in the Area

Gambir Station
Transportation Hub
1.27 km

Dunia Fantasi (Dufan)
Activity & Games
6.79 km

Ancol Dreamland 
Activity & Games
6.94 km

Halim Perdanakusuma International Airport (HLP)
Transportation Hub
11.68 km","Public Facilities
Parking
Coffee/tea in lobby
Coffee shop
Elevator
24-hour room service
Restaurant
Room service
Safety deposit box
WiFi in public area

In-room Facilities
Cable TV
Desk
Hairdryer
In-room safe
Shower

Things to Do
Fitness center
Massage
Outdoor pool
Spa

General
AC
Ballroom
Non-smoking room
Smoking area

Hotel Services
24-hour Receptionist
24-hour security
Laundry service
Tours

Food and Drinks
Buffet breakfast
Poolside bar

Connectivity
Internet point
LAN Internet

Business Facilities
Business center
Meeting facilities

Nearby Facilities
Beauty salon
Shops

Transportation
Valet parking

Shuttle Service
Airport transfer (surcharge)"
The Sultan Hotel & Residence Jakarta,5,8.6,7.007,1.597.200,"Nearby Places
Lagoon Cafe at The Sultan Hotel
Casual Dining
36 m
Jakarta Convention Center
Business
353 m
Istora Gelora Bung Karno Stadium 
Sport
545 m
Semanggi Busway Station
Transportation Hub
675 m
Popular in the Area
Gambir Station
Transportation Hub
5.06 km
Dunia Fantasi (Dufan)
Activity & Games
10.51 km
Halim Perdanakusuma International Airport (HLP)
Transportation Hub
10.58 km
Ancol Dreamland 
Activity & Games
10.72 km","Facilities
Food and Drinks

    A la carte breakfast
    A la carte dinner
    A la carte lunch
    Restaurant with AC
    Bar
    Breakfast
    Breakfast and dinner
    Breakfast and lunch
    Buffet breakfast
    Breakfast served to the table
    Breakfast (surcharge)
    Brunch
    Buffet dinner
    Buffet lunch
    Cafe
    Continental breakfast
    Dining area
    Early bird breakfast
    Fullboard with drinks
    Fullboard with non-alcoholic drinks
    Fullboard without drinks
    Gala dinner
    Free breakfast
    Halfboard with non-alcoholic drinks
    Halfboard without drinks
    Hot breakfast
    Set menu dinner
    Set menu lunch
    Show cooking restaurant
    Snack bar
    Snacks
    Dietary menu
    Vegetarian meal
    Winery

Hotel Services

    Bellhop
    Welcoming drinks
    Concierge
    Money changer
    Doorman
    Early Check-in
    Express check-in
    Express check-out
    Front desk
    24-hour Receptionist
    24-hour security
    Late check-out
    Laundry service
    Luggage storage
    Medical service
    Mobile
    Multilingual staff
    Newspaper in lobby
    Porter
    Tours
    Wedding service

Public Facilities

    Parking
    Coffee/tea in lobby
    Coffee shop
    Elevator
    24-hour room service
    Restaurant
    Breakfast restaurant
    Dinner restaurant
    Lunch restaurant
    Room service
    Safety deposit box
    WiFi in public area

In-room Facilities

    Bathtub
    Cable TV
    Desk
    Hairdryer
    In-room safe
    Kitchenette
    Microwave
    Minibar
    Refrigerator
    Separate shower and tub
    Shower
    TV

Transportation

    Airport transfer
    Bicycle rental
    Car rental
    Limited parking
    Parking with surcharge
    Limo or town car service
    Secure parking
    Shopping center shuttle
    Valet parking
    Valet parking (surcharge)

Business Facilities

    Business center
    Business facilities
    Computer station
    Conference hostess
    Conference room
    Meeting facilities
    Photocopier
    PRINTER
    Projector
    Business centre

General

    AC
    Ballroom
    Banquet
    Connecting rooms
    Family room
    Non-smoking room
    Swimming pool
    Smoking area

Connectivity

    INTERNATIONAL_CALL
    Internet point
    LAN Internet
    LAN Internet (surcharge)
    Free WiFi
    WiFi in public area (surcharge)
    WiFi (surcharge)

Things to Do

    Fitness center
    Garden
    Massage
    Outdoor pool
    Spa
    TV lounge

Nearby Facilities

    ATM/Banking
    Gift shop
    Grocery
    Laundry
    Shops

Sports and Recreations

    Basketball
    Fitness center
    Outdoor tennis court
    Tennis

Accessibilty

    Wheelchair accessible

Kids and Pets

    CRIBS

Shuttle Service

    Airport transfer (surcharge)"
DoubleTree by Hilton Jakarta - Diponegoro,5,8.8,3165,1.633.500,"Nearby Places
The Koffee at Double Tree by Hotel Hilton Jakarta
Cafe
16 m
Metropole XXI
Entertainment
158 m
Cikini Station
Transportation Hub
197 m
Dr. Cipto Mangunkusumo Hospital
Public Service
478 m
Popular in the Area
Gambir Station
Transportation Hub
2.82 km
Ancol Dreamland 
Activity & Games
8.16 km
Dunia Fantasi (Dufan)
Activity & Games
8.27 km
Halim Perdanakusuma International Airport (HLP)
Transportation Hub
9.21 km","Facilities
In-room Facilities

    Bathrobe
    Cable TV
    Desk
    Hairdryer
    In-room safe
    Minibar
    Shower
    TV

Hotel Services

    Concierge
    Express check-out
    24-hour Receptionist
    24-hour security
    Laundry service
    Luggage storage
    Multilingual staff
    Wedding service

General

    AC
    Ballroom
    Connecting rooms
    Family room
    Non-smoking room
    Swimming pool
    Smoking area

Things to Do

    Children play area
    Fitness center
    Garden
    Outdoor pool
    Pool sun loungers
    Sauna
    Spa

Public Facilities

    Parking
    Coffee shop
    Elevator
    24-hour room service
    Restaurant
    Room service
    Safety deposit box

Food and Drinks

    Bar
    Buffet breakfast
    Cafe
    Dining area
    Poolside bar

Family-friendly Facilities

    Kids club
    Children pool

Business Facilities

    Business center
    Meeting facilities

Connectivity

    Free WiFi
    WiFi (surcharge)

Transportation

    Valet parking (surcharge)

Accessibilty

    Wheelchair accessible

Nearby Facilities

    ATM/Banking

Sports and Recreations

    Fitness center

Shuttle Service

    Airport transfer (surcharge)"
Lumire Hotel & Convention Center,4,8.5,8601,700.000,"Nearby Places
Spices at Lumire Hotel
Casual Dining
31 m
Plaza Atrium
Shop & Gifts
129 m
Pasar Senen Terminal
Transportation Hub
189 m
Melawai Building
Business
307 m
Popular in the Area
Gambir Station
Transportation Hub
1.08 km
Ancol Dreamland 
Activity & Games
5.61 km
Dunia Fantasi (Dufan)
Activity & Games
5.70 km
Halim Perdanakusuma International Airport (HLP)
Transportation Hub
11.53 km","Facilities
Hotel Services

    Bellhop
    Concierge
    Doorman
    Express check-in
    Express check-out
    24-hour Receptionist
    24-hour security
    Laundry service
    Luggage storage
    Medical service
    Multilingual staff
    Newspaper in lobby
    Newspaper
    Wedding service

Public Facilities

    Parking
    Coffee shop
    Elevator
    24-hour room service
    Restaurant
    Breakfast restaurant
    Dinner restaurant
    Lunch restaurant
    Room service
    Safety deposit box
    WiFi in public area

Food and Drinks

    A la carte dinner
    A la carte lunch
    Restaurant with AC
    Bar
    Breakfast
    Buffet breakfast
    Breakfast (surcharge)
    Early bird breakfast
    No alcohol

In-room Facilities

    Bathtub
    Cable TV
    Desk
    Hairdryer
    In-room safe
    Separate shower and tub
    Shower
    TV

Nearby Facilities

    ATM/Banking
    Beauty salon
    Gift shop
    Hair salon
    Laundry
    Supermarket

General

    AC
    Ballroom
    Banquet
    Non-smoking room
    Smoking area

Business Facilities

    Business center
    Computer station
    Meeting facilities
    Photocopier
    Projector

Things to Do

    Fitness center
    Massage
    Outdoor pool
    Sauna
    Spa

Transportation

    Secure parking
    Valet parking

Sports and Recreations

    Billiard
    Fitness center

Accessibilty

    Wheelchair accessible

Connectivity

    Free WiFi

Shuttle Service

    Airport transfer (surcharge)"
JS Luwansa Hotel And Convention Center,4,8.6,3158,855.000,"Nearby Places
Olam Restaurant at JS Luwansa Hotel
Casual Dining
4 m
Plaza Festival Mall Kuningan
Shop & Gifts
235 m
Metropolitan Medical Centre Jakarta
Public Service
359 m
Cyber 2
Business
374 m
Popular in the Area
Gambir Station
Transportation Hub
5.17 km
Halim Perdanakusuma International Airport (HLP)
Transportation Hub
8.02 km
Ancol Dreamland 
Activity & Games
10.88 km
Dunia Fantasi (Dufan)
Activity & Games
10.88 km","General

    AC
    Ballroom
    Banquet
    Connecting rooms
    Non-smoking room
    Swimming pool
    Smoking area

Public Facilities

    Parking
    Elevator
    24-hour room service
    Restaurant
    Room service
    Safety deposit box
    WiFi in public area

Hotel Services

    Bellhop
    Concierge
    Front desk
    24-hour Receptionist
    24-hour security
    Laundry service
    Luggage storage

In-room Facilities

    Bathrobe
    Bathtub
    Hairdryer
    Separate shower and tub
    Shower
    TV

Transportation

    Airport transfer
    Limo or town car service
    Secure parking

Business Facilities

    Business center
    Computer station
    Meeting facilities

Connectivity

    Free WiFi

Nearby Facilities

    ATM/Banking

Sports and Recreations

    Fitness center"
The Grove Suites by GRAND ASTON,5,8.7,2757,1.120.944,"Nearby Places
Pawon Gendhuk - Rasuna Garden Food Street
Food Court
21 m
Epicentrum Walk
Shop & Gifts
80 m
Gran Rubina Business Park
Business
161 m
Metropolitan Medical Centre Jakarta
Public Service
275 m
Popular in the Area
Gambir Station
Transportation Hub
4.65 km
Halim Perdanakusuma International Airport (HLP)
Transportation Hub
8.26 km
Ancol Dreamland 
Activity & Games
10.34 km
Dunia Fantasi (Dufan)
Activity & Games
10.36 km","Facilities
Public Facilities

    24-hour room service
    Room service
    Parking
    Safety deposit box
    WiFi in public area
    Coffee shop
    Restaurant

Things to Do

    Massage
    Fitness center
    Spa
    Outdoor pool
    Garden

Hotel Services

    Laundry service
    Tours
    Luggage storage
    24-hour Receptionist

Business Facilities

    Business center
    Meeting facilities

Food and Drinks

    Bar

Transportation

    Airport transfer

Connectivity

    LAN Internet

General

    Smoking area"
Harris Suites FX Sudirman,4,8.6,4565,1.077.800,"Nearby Places
Cafe De Manila - fX Sudirman
Casual Dining
11 m
fX Sudirman Mall
Shop & Gifts
32 m
Graha Niaga
Business
223 m
Senayan MRT Station
Transportation Hub
346 m
Popular in the Area
Gambir Station
Transportation Hub
6.11 km
Halim Perdanakusuma International Airport (HLP)
Transportation Hub
10.73 km
Dunia Fantasi (Dufan)
Activity & Games
11.51 km
Ancol Dreamland 
Activity & Games
11.74 km","Food and Drinks

    A la carte dinner
    A la carte lunch
    Restaurant with AC
    Breakfast
    Breakfast and dinner
    Breakfast and lunch
    Buffet breakfast
    Breakfast (surcharge)
    Continental breakfast
    Early bird breakfast
    Hot breakfast

Public Facilities

    Parking
    Early check-in
    Elevator
    24-hour room service
    Restaurant
    Breakfast restaurant
    Dinner restaurant
    Lunch restaurant
    Room service
    Safety deposit box
    WiFi in public area

Hotel Services

    Bellhop
    24-hour Receptionist
    24-hour security
    Laundry service
    Luggage storage
    Multilingual staff
    Newspaper in lobby
    Newspaper

In-room Facilities

    Cable TV
    Desk
    Hairdryer
    In-room safe
    Minibar
    Shower
    TV

General

    AC
    Banquet
    Family room
    Non-smoking room
    Recreation room
    Smoke-free

Nearby Facilities

    ATM/Banking
    Grocery
    Hair salon
    Laundry
    Shops
    Supermarket

Transportation

    Secure parking
    Valet parking
    Valet parking (surcharge)

Things to Do

    Children play area
    Fitness center

Connectivity

    Free WiFi

Accessibilty

    Wheelchair accessible

Shuttle Service

    Airport transfer (surcharge)

Sports and Recreations

    Outdoor tennis court"
Le Meridien Jakarta,5,8.6,353,1.635.133,"Nearby Places
Al Nafoura at Le Meridien Hotel
Casual Dining
32 m
World Trade Center 5
Business
119 m
Jakarta World Trade Center
Shop & Gifts
189 m
Bendungan Hilir MRT Station
Transportation Hub
198 m
Popular in the Area
Gambir Station
Transportation Hub
4.29 km
Dunia Fantasi (Dufan)
Activity & Games
9.92 km
Halim Perdanakusuma International Airport (HLP)
Transportation Hub
9.95 km
Ancol Dreamland 
Activity & Games
10.06 km","Public Facilities

    Parking
    Coffee/tea in lobby
    Coffee shop
    Elevator
    24-hour room service
    Restaurant
    Room service
    Safety deposit box
    WiFi in public area

Things to Do

    Garden
    Outdoor pool
    Sauna
    Spa

Transportation

    Airport transfer
    Valet parking

Business Facilities

    Business center
    Meeting facilities

Hotel Services

    24-hour Receptionist
    Laundry service

Kids and Pets

    Babysitting

Food and Drinks

    Nightclub

General

    Family room

Nearby Facilities

    Shops"
Sheraton Grand Jakarta Gandaria City Hotel,5,8.9,1511,2.420.000,"Nearby Places
Anigre at Sheraton Gandaria
Casual Dining
16 m
Gandaria City Mall
Shop & Gifts
133 m
AG Bank Artha Graha
Business
476 m
Kebayoran Station
Transportation Hub
904 m
Popular in the Area
Gambir Station
Transportation Hub
9.26 km
Halim Perdanakusuma International Airport (HLP)
Transportation Hub
12.17 km
Dunia Fantasi (Dufan)
Activity & Games
14.42 km
Ancol Dreamland 
Activity & Games
14.74 km","Food and Drinks

    A la carte breakfast
    A la carte dinner
    A la carte lunch
    Restaurant with AC
    Bar
    Breakfast
    Breakfast and dinner
    Breakfast and lunch
    Buffet breakfast
    Breakfast served to the table
    Breakfast (surcharge)
    Brunch
    Buffet dinner
    Buffet lunch
    Continental breakfast
    Dining area
    Gala dinner
    Hot breakfast
    Show cooking restaurant
    Snacks
    Dietary menu
    Vegetarian meal
    Winery

Public Facilities

    Parking
    Coffee/tea in lobby
    Coffee shop
    Early check-in
    Elevator
    24-hour room service
    Late check-out
    Restaurant
    Breakfast restaurant
    Dinner restaurant
    Lunch restaurant
    Room service
    Safety deposit box
    WiFi in public area

Hotel Services

    Bellhop
    Welcoming drinks
    Concierge
    Early Check-in
    Express check-out
    Front desk
    24-hour Receptionist
    24-hour security
    Late check-out
    Laundry service
    Luggage storage
    Medical service
    Multilingual staff
    Wedding service

In-room Facilities

    Bathrobe
    Bathtub
    Cable TV
    Desk
    Hairdryer
    In-room safe
    Minibar
    Separate shower and tub
    Shower
    TV

Business Facilities

    Business center
    Business facilities
    Computer station
    Conference hostess
    Conference room
    Meeting facilities
    Photocopier
    Projector
    Business centre

Nearby Facilities

    ATM/Banking
    Beauty salon
    Gift shop
    Grocery
    Hair salon
    Laundry
    Shops
    Supermarket

General

    AC
    Ballroom
    Banquet
    Connecting rooms
    Swimming pool
    Smoking area
    Smoke-free

Transportation

    Airport transfer
    Car rental
    Limo or town car service
    Secure parking
    Valet parking
    Valet parking (surcharge)

Accessibilty

    Disabled access friendly
    Accessible bathroom
    Accessible parking
    In-room accessibility
    Roll-in shower
    Wheelchair accessible

Things to Do

    Outdoor pool

Connectivity

    Free WiFi

Shuttle Service

    Airport transfer (surcharge)"
Mercure Convention Center Ancol,4,8.4,7334,796.180,"Nearby Places
Sunda Kelapa at Mercure Convention Center Ancol
Casual Dining
84 m
Ocean Eco Park
Park & Zoo
307 m
Ancol Station
Transportation Hub
1.16 km
SDN Pademangan Barat 07 Pagi
Education
1.27 km
Popular in the Area
Dunia Fantasi (Dufan)
Activity & Games
481 m
Ancol Dreamland 
Activity & Games
560 m
Gambir Station
Transportation Hub
6.03 km
Halim Perdanakusuma International Airport (HLP)
Transportation Hub
17.11 km","Hotel Services

    Laundry service
    Newspaper in lobby
    Wedding service
    Tours
    Luggage storage
    24-hour Receptionist
    Concierge

Public Facilities

    OTHER
    Restaurant
    Safety deposit box
    Smoke-free area
    Elevator

Things to Do

    Outdoor pool
    Garden
    Barbecue
    Spa

General

    Banquet
    Ballroom
    Parking (surcharge)
    Terrace

Sports and Recreations

    Game room
    Outdoor tennis court
    Billiard
    Fitness center

Accessibilty

    In-room accessibility
    Roll-in shower
    Accessible bathroom

Business Facilities

    Meeting facilities
    Business center
    Conference center

Family-friendly Facilities

    Children pool
    Kids club

Food and Drinks

    Bar
    Breakfast

Nearby Facilities

    Souvenir shop
    ATM/Banking

Kids and Pets

    Supervised childcare

Connectivity

    Free WiFi"
Ashley Wahid Hasyim Jakarta,4,8.7,8395,690.888,"Nearby Places
Sushi Matsu - Menteng
Casual Dining
19 m
Sarinah Mall
Shop & Gifts
352 m
Jakarta Theater Building
Business
360 m
Gondangdia Railway Station
Transportation Hub
636 m
Popular in the Area
Gambir Station
Transportation Hub
1.27 km
Dunia Fantasi (Dufan)
Activity & Games
6.95 km
Ancol Dreamland 
Activity & Games
7.04 km
Halim Perdanakusuma International Airport (HLP)
Transportation Hub
11.28 km","Hotel Services

    Front desk
    24-hour Receptionist
    24-hour security
    Laundry service
    Luggage storage
    Medical service
    Multilingual staff
    Wedding service

General

    AC
    Ballroom
    Banquet
    Family room
    Non-smoking room
    Smoking area
    Smoke-free

Public Facilities

    Parking
    Coffee shop
    Elevator
    Breakfast restaurant
    Lunch restaurant
    Safety deposit box
    WiFi in public area

In-room Facilities

    Bathrobe
    Desk
    Hairdryer
    In-room safe
    Refrigerator
    Shower
    TV

Business Facilities

    Computer station
    Conference room
    Meeting facilities
    Photocopier
    PRINTER
    Projector

Accessibilty

    Disabled access friendly
    Accessible bathroom
    Accessible parking
    Wheelchair accessible

Food and Drinks

    Restaurant with AC
    Breakfast
    Buffet breakfast

Nearby Facilities

    ATM/Banking
    Shops
    Supermarket

Transportation

    Secure parking

Connectivity

    Free WiFi

Shuttle Service

    Airport transfer (surcharge)"
Mercure Jakarta Gatot Subroto - CHSE Certified,4,8.5,1644,747.780,"Nearby Places
Wayang Kitchen at Mercure Gatot Subroto
Casual Dining
14 m
Gedung Trans Media
Business
244 m
Medistra Hospital
Public Service
354 m
Indomaret SPBU Tendean A
Shop & Gifts
436 m
Popular in the Area
Gambir Station
Transportation Hub
6.98 km
Halim Perdanakusuma International Airport (HLP)
Transportation Hub
7.34 km
Dunia Fantasi (Dufan)
Activity & Games
12.70 km
Ancol Dreamland 
Activity & Games
12.71 km","Hotel Services

    Laundry service
    Express check-in
    Newspaper in lobby
    Luggage storage
    Express check-out
    Porter
    24-hour Receptionist
    Concierge

Food and Drinks

    Bar
    Poolside bar
    Breakfast
    Snack bar

Public Facilities

    OTHER
    Restaurant
    Safety deposit box
    Elevator

Things to Do

    Indoor pool
    Spa
    Pool sun loungers

General

    Swimming pool
    Smoking area
    Parking

Accessibilty

    In-room accessibility
    Roll-in shower
    Accessible bathroom

Connectivity

    Free WiFi

Business Facilities

    Meeting facilities

Sports and Recreations

    Fitness center"
Hotel Santika Premiere Slipi Jakarta,4,8.6,6107,684.000,"Nearby Places
Yan Palace at Hotel Santika Premiere
Casual Dining
10 m
Alfamart KS Tubun
Shop & Gifts
330 m
Jakarta Design Center
Business
399 m
Palmerah Station
Transportation Hub
1.12 km
Popular in the Area
Gambir Station
Transportation Hub
3.94 km
Dunia Fantasi (Dufan)
Activity & Games
8.78 km
Ancol Dreamland 
Activity & Games
9.11 km
Halim Perdanakusuma International Airport (HLP)
Transportation Hub
12.40 km","Public Facilities

    Parking
    Coffee shop
    Elevator
    24-hour room service
    Restaurant
    Breakfast restaurant
    Dinner restaurant
    Lunch restaurant
    Room service
    Safety deposit box
    WiFi in public area

Hotel Services

    Bellhop
    Concierge
    Front desk
    24-hour Receptionist
    24-hour security
    Laundry service
    Luggage storage
    Multilingual staff

General

    AC
    Ballroom
    Banquet
    Connecting rooms
    Non-smoking room
    Swimming pool
    Smoking area

Business Facilities

    Business center
    Computer station
    Conference room
    Meeting facilities
    Photocopier
    PRINTER
    Projector

In-room Facilities

    Cable TV
    Desk
    Hairdryer
    In-room safe
    Refrigerator
    Shower
    TV

Nearby Facilities

    ATM/Banking
    Beauty salon
    Grocery
    Shops
    Supermarket

Food and Drinks

    A la carte dinner
    A la carte lunch
    Restaurant with AC
    Breakfast

Things to Do

    Garden
    Outdoor pool

Transportation

    Limited parking

Connectivity

    Free WiFi

Accessibilty

    Wheelchair accessible

Shuttle Service

    Airport transfer (surcharge)"
HARRIS Hotel & Convention Kelapa Gading,4,8.6,434,678.640,"Nearby Places
Pancious - Mall Kelapa Gading
Casual Dining
18 m
Kelapa Gading Mall
Shop & Gifts
245 m
Graha SKG
Business
499 m
Lotte Mart Kelapa Gading
Shop & Gifts
1.66 km
Popular in the Area
Ancol Dreamland 
Activity & Games
8.51 km
Gambir Station
Transportation Hub
9.08 km
Dunia Fantasi (Dufan)
Activity & Games
9.31 km
Halim Perdanakusuma International Airport (HLP)
Transportation Hub
12.35 km","Public Facilities

    Parking
    Coffee/tea in lobby
    Coffee shop
    Elevator
    24-hour room service
    Restaurant
    Breakfast restaurant
    Dinner restaurant
    Lunch restaurant
    Room service
    Safety deposit box
    WiFi in public area

Hotel Services

    Bellhop
    Concierge
    Front desk
    24-hour Receptionist
    24-hour security
    Laundry service
    Luggage storage
    Multilingual staff

General

    AC
    Banquet
    Connecting rooms
    Heater
    Non-smoking room
    Swimming pool
    Smoking area

In-room Facilities

    Bathrobe
    Cable TV
    Desk
    Hairdryer
    Minibar
    Shower
    TV

Nearby Facilities

    ATM/Banking
    Beauty salon
    Gift shop
    Hair salon
    Shops
    Supermarket

Things to Do

    Fitness center
    Massage
    Outdoor pool
    Sauna
    Spa

Food and Drinks

    A la carte dinner
    A la carte lunch
    Restaurant with AC
    Buffet breakfast

Business Facilities

    Business center
    Meeting facilities
    Photocopier
    Projector

Connectivity

    LAN Internet
    Free WiFi
    WiFi in public area (surcharge)

Accessibilty

    Accessible bathroom
    Accessible parking

Family-friendly Facilities

    Children pool

Sports and Recreations

    Fitness center

Shuttle Service

    Airport transfer (surcharge)"
Best Western Premier The Hive,5,8.4,10776,500.000,"Nearby Places
Nebe Kitchen - The Hive 
Casual Dining
16 m
Universitas Kristen Indonesia
Education
507 m
National Brain Center Hospital
Public Service
563 m
Cawang UKI Busway Station
Transportation Hub
629 m
Popular in the Area
Halim Perdanakusuma International Airport (HLP)
Transportation Hub
2.96 km
Gambir Station
Transportation Hub
9.07 km
Ancol Dreamland 
Activity & Games
13.84 km
Dunia Fantasi (Dufan)
Activity & Games
14.14 km","Hotel Services

    Bellhop
    Welcoming drinks
    Concierge
    Money changer
    Doorman
    Early Check-in
    Express check-in
    Express check-out
    Front desk
    24-hour Receptionist
    24-hour security
    Late check-out
    Laundry service
    Luggage storage
    Medical service
    Multilingual staff
    Newspaper in lobby
    Newspaper
    Porter
    Wedding service

Food and Drinks

    Restaurant with AC
    Bar
    Breakfast
    Buffet breakfast
    Cafe
    Continental breakfast
    Early bird breakfast
    Hot breakfast
    Poolside bar
    Show cooking restaurant
    Snack bar
    Snacks
    Vegetarian meal
    Winery

Public Facilities

    Parking
    Coffee/tea in lobby
    Coffee shop
    Early check-in
    Elevator
    24-hour room service
    Late check-out
    Restaurant
    Breakfast restaurant
    Room service
    Safety deposit box
    WiFi in public area

In-room Facilities

    Bathrobe
    Bathtub
    Cable TV
    Desk
    Hairdryer
    In-room safe
    Minibar
    Shower
    TV

Business Facilities

    Business center
    Computer station
    Conference room
    Meeting facilities
    Photocopier
    Projector

Nearby Facilities

    ATM/Banking
    Gift shop
    Grocery
    Laundry
    Shops
    Supermarket

Things to Do

    Fitness center
    Garden
    Library
    Massage
    Outdoor pool
    Spa

General

    AC
    Connecting rooms
    Family room
    Non-smoking room

Transportation

    Car rental
    Secure parking
    Valet parking

Connectivity

    Internet point
    LAN Internet
    Free WiFi

Kids and Pets

    Babysitting with surcharge
    Highchairs

Family-friendly Facilities

    Children pool

Accessibilty

    Accessible bathroom

Shuttle Service

    Airport transfer (surcharge)"
Aryaduta Menteng,5,8.5,7156,850.850,"Nearby Places
KFC - Prapatan Tugu Tani
Fast Food
107 m
National Gallery of Indonesia
Arts & Sciences
363 m
Gondangdia Railway Station
Transportation Hub
492 m
Gatot Soebroto Army Hospital
Public Service
742 m
Popular in the Area
Gambir Station
Transportation Hub
613 m
Dunia Fantasi (Dufan)
Activity & Games
6.28 km
Ancol Dreamland 
Activity & Games
6.30 km
Halim Perdanakusuma International Airport (HLP)
Transportation Hub
11.42 km","Hotel Services

    Bellhop
    Concierge
    Money changer
    Doorman
    Express check-out
    24-hour Receptionist
    24-hour security
    Laundry service
    Luggage storage
    Medical service
    Newspaper in lobby
    Porter
    Tours
    Wedding service

Public Facilities

    Parking
    Coffee/tea in lobby
    Coffee shop
    Elevator
    24-hour room service
    Restaurant
    Breakfast restaurant
    Dinner restaurant
    Lunch restaurant
    Room service
    WiFi in public area

Business Facilities

    Business center
    Computer station
    Conference room
    Meeting facilities
    Photocopier
    Projector
    Business centre

General

    AC
    Ballroom
    Banquet
    Non-smoking room
    Swimming pool
    Smoking area

In-room Facilities

    Cable TV
    Desk
    Hairdryer
    In-room safe
    Shower
    TV

Transportation

    Car rental
    Limited parking
    Parking with surcharge
    Secure parking
    Valet parking (surcharge)

Food and Drinks

    Restaurant with AC
    Bar
    Poolside bar
    Bar

Connectivity

    Internet point
    LAN Internet
    Free WiFi

Nearby Facilities

    ATM/Banking
    Grocery

Things to Do

    Massage
    Outdoor pool

Family-friendly Facilities

    Children pool

Accessibilty

    Wheelchair accessible

Sports and Recreations

    Squash

Shuttle Service

    Airport transfer (surcharge)"
